1636773450344|SEVERE|org.arl.unet.sim.HalfDuplexModem/Base@2642:die|Agent phy died: java.lang.NullPointerException
1636773500350|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773500350|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773500350|INFO|AUV1_Agent/1@2624:println|AUV-1 [2606.2999999999997, 0.0, 0.0]
1636773502020|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773502020|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773502020|INFO|AUV1_Agent/1@2624:println|AUV-1 [2689.8, 0.0, 0.0]
1636773503684|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773503684|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773503684|INFO|AUV1_Agent/1@2624:println|AUV-1 [2773.0, 0.0, 0.0]
1636773505351|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773505351|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773505351|INFO|AUV1_Agent/1@2624:println|AUV-1 [2856.35, 0.0, 0.0]
1636773507027|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773507027|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773507027|INFO|AUV1_Agent/1@2624:println|AUV-1 [2940.1499999999996, 0.0, 0.0]
1636773508687|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773508687|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773508687|INFO|AUV1_Agent/1@2624:println|AUV-1 [3023.15, 0.0, 0.0]
1636773510357|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773510357|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773510357|INFO|AUV1_Agent/1@2624:println|AUV-1 [3106.65, 0.0, 0.0]
1636773512027|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773512027|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773512027|INFO|AUV1_Agent/1@2624:println|AUV-1 [3190.1499999999996, 0.0, 0.0]
1636773513693|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773513693|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773513693|INFO|AUV1_Agent/1@2624:println|AUV-1 [3273.45, 0.0, 0.0]
1636773515349|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773515349|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773515349|INFO|AUV1_Agent/1@2624:println|AUV-1 [3356.25, 0.0, 0.0]
1636773517016|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773517016|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773517016|INFO|AUV1_Agent/1@2624:println|AUV-1 [3439.6, 0.0, 0.0]
1636773518686|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773518686|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773518686|INFO|AUV1_Agent/1@2624:println|AUV-1 [3523.1000000000004, 0.0, 0.0]
1636773520349|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773520349|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773520349|INFO|AUV1_Agent/1@2624:println|AUV-1 [3606.25, 0.0, 0.0]
1636773522024|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773522024|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773522024|INFO|AUV1_Agent/1@2624:println|AUV-1 [3690.0, 0.0, 0.0]
1636773523695|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773523695|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773523695|INFO|AUV1_Agent/1@2624:println|AUV-1 [3773.55, 0.0, 0.0]
1636773525361|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773525361|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773525361|INFO|AUV1_Agent/1@2624:println|AUV-1 [3856.85, 0.0, 0.0]
1636773527032|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773527032|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
